type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 13:55:26,48.263966456,8.846682516,527.9,,,0.000,,6_Hinweg_Messe-Stadthalle,
T,2022-01-21 13:55:27,48.263972297,8.846653676,527.9,8.1,1.6,0.002,2.24,,
T,2022-01-21 13:55:28,48.263978895,8.846617410,528.0,10.0,1.2,0.005,2.79,,
T,2022-01-21 13:55:29,48.263987626,8.846551922,528.0,17.8,0.1,0.010,4.96,,
T,2022-01-21 13:55:30,48.264004978,8.846479304,528.0,20.6,0.0,0.016,5.73,,
T,2022-01-21 13:55:31,48.264030739,8.846403501,528.0,22.7,0.0,0.022,6.31,,
T,2022-01-21 13:55:32,48.264060201,8.846321201,528.0,25.0,0.0,0.029,6.93,,
T,2022-01-21 13:55:33,48.264090183,8.846232420,528.0,26.6,0.0,0.036,7.39,,
T,2022-01-21 13:55:34,48.264150222,8.846163008,528.0,30.4,0.0,0.045,8.43,,
T,2022-01-21 13:55:35,48.264182138,8.846062871,528.0,29.7,0.0,0.053,8.24,,
T,2022-01-21 13:55:36,48.264218586,8.845948518,528.0,33.9,0.0,0.062,9.41,,
T,2022-01-21 13:55:37,48.264257478,8.845822651,528.0,37.1,0.0,0.073,10.30,,
T,2022-01-21 13:55:38,48.264297652,8.845691028,528.0,38.7,0.0,0.083,10.74,,
T,2022-01-21 13:55:39,48.264337616,8.845560095,528.0,38.5,0.0,0.094,10.69,,
T,2022-01-21 13:55:40,48.264377789,8.845435203,528.0,37.1,0.0,0.104,10.29,,
T,2022-01-21 13:55:41,48.264419549,8.845321228,528.0,34.7,0.0,0.114,9.65,,
T,2022-01-21 13:55:42,48.264465174,8.845215106,528.0,33.7,0.0,0.123,9.37,,
T,2022-01-21 13:55:43,48.264516730,8.845114732,528.0,33.8,0.0,0.133,9.40,,
T,2022-01-21 13:55:44,48.264575115,8.845025977,528.0,33.3,-0.0,0.142,9.25,,
T,2022-01-21 13:55:45,48.264641175,8.844945735,528.0,34.0,-0.0,0.152,9.46,,
T,2022-01-21 13:55:46,48.264718853,8.844873380,528.0,36.6,0.4,0.162,10.17,,
T,2022-01-21 13:55:47,48.264810205,8.844845719,528.0,37.3,-0.0,0.172,10.36,,
T,2022-01-21 13:55:48,48.264899121,8.844818220,528.0,36.3,-0.1,0.182,10.10,,
T,2022-01-21 13:55:49,48.264990980,8.844808127,528.0,36.9,-0.1,0.192,10.24,,
T,2022-01-21 13:55:50,48.265081634,8.844809542,528.0,36.3,-0.0,0.203,10.08,,
T,2022-01-21 13:55:51,48.265175243,8.844827348,528.0,37.8,-0.0,0.213,10.49,,
T,2022-01-21 13:55:52,48.265272029,8.844847077,528.0,39.1,-0.0,0.224,10.86,,
T,2022-01-21 13:55:53,48.265367717,8.844879147,528.0,39.3,-0.0,0.235,10.90,,
T,2022-01-21 13:55:54,48.265465611,8.844924981,528.0,41.1,-0.0,0.246,11.40,,
T,2022-01-21 13:55:55,48.265565911,8.844974540,528.0,42.3,-0.0,0.258,11.74,,
T,2022-01-21 13:55:56,48.265666431,8.845024008,528.0,42.4,-0.0,0.270,11.77,,
T,2022-01-21 13:55:57,48.265767239,8.845071434,528.0,42.3,-0.2,0.281,11.75,,
T,2022-01-21 13:55:58,48.265870576,8.845112252,527.9,42.8,-0.5,0.293,11.88,,
T,2022-01-21 13:55:59,48.265974353,8.845160529,527.8,43.5,-0.7,0.305,12.08,,
T,2022-01-21 13:56:00,48.266083241,8.845197844,527.7,44.7,-0.9,0.318,12.42,,
T,2022-01-21 13:56:01,48.266194920,8.845240946,527.6,46.2,-1.0,0.331,12.82,,
T,2022-01-21 13:56:02,48.266308372,8.845290148,527.4,47.3,-1.1,0.344,13.13,,
T,2022-01-21 13:56:03,48.266422261,8.845341638,527.3,47.6,-1.2,0.357,13.23,,
T,2022-01-21 13:56:04,48.266540336,8.845383299,527.1,48.6,-1.0,0.371,13.49,,
T,2022-01-21 13:56:05,48.266652287,8.845439650,527.1,47.3,-0.5,0.384,13.13,,
T,2022-01-21 13:56:06,48.266764640,8.845495581,527.0,47.4,-0.3,0.397,13.17,,
T,2022-01-21 13:56:07,48.266874190,8.845552857,527.0,46.4,-0.5,0.410,12.90,,
