type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 14:07:28,48.273329663,8.856130342,519.8,3.6,-0.1,0.005,5.00,,
T,2022-01-21 14:07:29,48.273369282,8.856128510,519.8,15.9,-0.5,0.009,4.41,,
T,2022-01-21 14:07:30,48.273425847,8.856125055,519.5,22.7,-3.6,0.016,6.29,,
T,2022-01-21 14:07:31,48.273492624,8.856112490,519.2,26.9,-5.1,0.023,7.48,,
T,2022-01-21 14:07:32,48.273546159,8.856116568,518.6,21.5,-8.5,0.029,5.96,,
T,2022-01-21 14:07:33,48.273585618,8.856118687,518.3,15.8,-8.7,0.034,4.39,,
T,2022-01-21 14:07:34,48.273624214,8.856124414,518.0,15.5,-6.6,0.038,4.31,,
T,2022-01-21 14:07:35,48.273658714,8.856126684,517.8,13.8,-4.1,0.042,3.84,,
T,2022-01-21 14:07:36,48.273690538,8.856133855,517.8,12.9,-0.4,0.045,3.58,,
T,2022-01-21 14:07:37,48.273718019,8.856142454,517.8,11.2,0.7,0.048,3.12,,
T,2022-01-21 14:07:38,48.273739685,8.856145448,517.9,8.7,0.9,0.051,2.42,,
T,2022-01-21 14:07:39,48.273758992,8.856154993,517.8,8.1,-0.1,0.053,2.26,,
T,2022-01-21 14:07:41,48.273771923,8.856178867,517.9,4.1,1.6,0.055,2.28,,
T,2022-01-21 14:07:50,48.273812731,8.856197538,517.9,1.9,0.1,0.060,4.74,,
T,2022-01-21 14:07:51,48.273838355,8.856214097,517.9,11.2,-0.0,0.063,3.10,,
T,2022-01-21 14:07:52,48.273878117,8.856224062,517.9,16.1,-0.7,0.068,4.48,,
T,2022-01-21 14:07:53,48.273918096,8.856236796,517.8,16.4,-2.2,0.072,4.54,,
T,2022-01-21 14:07:54,48.273977803,8.856218936,517.7,24.4,-0.6,0.079,6.77,,
T,2022-01-21 14:07:55,48.274034695,8.856188888,517.7,24.1,-0.1,0.086,6.71,,
T,2022-01-21 14:07:56,48.274089097,8.856132684,517.7,26.5,-0.0,0.093,7.35,,
