type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),eos,name,desc
T,2022-01-21 08:36:09,48.289662814,8.854284335,525.7,,,1.816,2.77,,,
T,2022-01-21 08:36:11,48.289690180,8.854286049,525.7,5.5,1.1,1.819,3.05,,,
T,2022-01-21 08:36:12,48.289716032,8.854287668,525.7,10.4,0.7,1.822,2.88,,,
T,2022-01-21 08:36:13,48.289748470,8.854289699,525.7,13.0,0.5,1.825,3.61,,,
T,2022-01-21 08:36:14,48.289789427,8.854286295,525.8,16.4,0.4,1.830,4.56,,,
T,2022-01-21 08:36:15,48.289830084,8.854283914,525.8,16.3,0.4,1.834,4.52,,,
T,2022-01-21 08:36:16,48.289875753,8.854281240,525.8,18.3,0.3,1.839,5.08,,,
T,2022-01-21 08:36:17,48.289922900,8.854278479,525.8,18.9,0.2,1.845,5.25,,,
T,2022-01-21 08:36:18,48.289972182,8.854275593,525.8,19.7,0.2,1.850,5.48,,,
T,2022-01-21 08:36:19,48.290028014,8.854272324,525.8,22.4,0.2,1.856,6.21,,,
T,2022-01-21 08:36:20,48.290085633,8.854268963,525.9,23.1,0.4,1.863,6.41,,,
T,2022-01-21 08:36:21,48.290148108,8.854265317,525.9,25.0,0.9,1.870,6.95,,,
T,2022-01-21 08:36:22,48.290212876,8.854261537,526.0,25.9,1.3,1.877,7.21,,,
T,2022-01-21 08:36:23,48.290281241,8.854241868,526.1,27.9,1.7,1.885,7.74,,,
T,2022-01-21 08:36:24,48.290341291,8.854226000,526.3,24.4,2.4,1.892,6.78,,,
T,2022-01-21 08:36:25,48.290401609,8.854209812,526.5,24.5,2.4,1.898,6.81,,,
T,2022-01-21 08:36:26,48.290464152,8.854193026,526.6,25.4,2.2,1.905,7.07,,,
T,2022-01-21 08:36:27,48.290528495,8.854161876,526.8,27.1,1.9,1.913,7.52,,,
T,2022-01-21 08:36:28,48.290598070,8.854170650,526.9,27.9,1.7,1.921,7.76,,,
T,2022-01-21 08:36:29,48.290666394,8.854152138,527.0,27.8,1.5,1.928,7.72,,,
T,2022-01-21 08:36:30,48.290733991,8.854133823,527.1,27.5,1.6,1.936,7.64,,,
T,2022-01-21 08:36:31,48.290800092,8.854115914,527.3,26.9,1.8,1.944,7.47,,,
T,2022-01-21 08:36:32,48.290864942,8.854098343,527.4,26.4,2.1,1.951,7.33,,,
T,2022-01-21 08:36:33,48.290934642,8.854028472,527.6,33.6,1.8,1.960,9.32,,,
T,2022-01-21 08:36:34,48.290990105,8.853980782,527.7,25.6,2.0,1.967,7.11,,,
T,2022-01-21 08:36:35,48.291040186,8.853919067,527.8,26.0,1.5,1.974,7.21,,,
