type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:41:10,48.286891426,8.851336291,516.5,9.6,-1.9,9.922,5.33,,
T,2022-01-21 11:41:11,48.286847116,8.851361063,516.4,18.9,-1.0,9.927,5.26,,
T,2022-01-21 11:41:12,48.286793537,8.851383116,516.4,22.2,-1.1,9.934,6.18,,
T,2022-01-21 11:41:13,48.286734322,8.851356206,516.3,24.8,-1.0,9.941,6.88,,
T,2022-01-21 11:41:14,48.286666944,8.851358346,516.2,27.0,-0.9,9.948,7.49,,
T,2022-01-21 11:41:15,48.286592193,8.851360719,516.2,29.9,-0.7,9.956,8.31,,
T,2022-01-21 11:41:16,48.286510747,8.851363305,516.1,32.6,-0.6,9.965,9.06,,
T,2022-01-21 11:41:17,48.286429401,8.851365888,516.1,32.6,-0.5,9.974,9.05,,
T,2022-01-21 11:41:18,48.286346891,8.851382788,516.0,33.3,-0.5,9.984,9.26,,
T,2022-01-21 11:41:19,48.286266576,8.851358134,515.9,32.8,-0.7,9.993,9.12,,
T,2022-01-21 11:41:20,48.286186064,8.851368963,515.8,32.4,-1.4,10.002,8.99,,
T,2022-01-21 11:41:21,48.286107157,8.851352005,515.7,31.9,-1.9,10.011,8.86,,
T,2022-01-21 11:41:22,48.286026183,8.851338282,515.4,32.6,-2.4,10.020,9.06,,
T,2022-01-21 11:41:23,48.285943765,8.851311607,515.2,33.8,-2.1,10.029,9.38,,
T,2022-01-21 11:41:24,48.285859144,8.851279228,515.1,35.0,-1.8,10.039,9.71,,
T,2022-01-21 11:41:25,48.285773765,8.851226206,514.9,37.0,-1.5,10.049,10.28,,
T,2022-01-21 11:41:26,48.285687278,8.851169758,514.8,37.8,-1.3,10.060,10.49,,
T,2022-01-21 11:41:27,48.285601369,8.851110125,514.6,37.9,-1.2,10.070,10.53,,
T,2022-01-21 11:41:28,48.285518109,8.851054563,514.5,36.5,-1.1,10.080,10.13,,
T,2022-01-21 11:41:29,48.285436606,8.850998907,514.4,35.9,-1.3,10.090,9.96,,
T,2022-01-21 11:41:30,48.285362561,8.850937717,514.2,33.8,-1.8,10.100,9.40,,
T,2022-01-21 11:41:31,48.285297222,8.850865467,514.0,32.5,-2.4,10.109,9.03,,
T,2022-01-21 11:41:32,48.285235690,8.850794564,513.8,31.1,-2.8,10.117,8.63,,
T,2022-01-21 11:41:33,48.285178759,8.850722695,513.6,29.8,-2.5,10.126,8.28,,
T,2022-01-21 11:41:34,48.285129012,8.850656531,513.4,26.6,-1.8,10.133,7.40,,
T,2022-01-21 11:41:35,48.285095197,8.850599571,513.4,20.4,-1.2,10.139,5.66,,
T,2022-01-21 11:41:36,48.285067687,8.850555529,513.4,16.1,-0.3,10.143,4.48,,
T,2022-01-21 11:41:37,48.285045626,8.850518482,513.4,13.3,0.6,10.147,3.68,,
T,2022-01-21 11:41:38,48.285021870,8.850487168,513.4,12.7,0.7,10.150,3.52,,
T,2022-01-21 11:41:39,48.285004323,8.850454563,513.4,11.2,0.7,10.153,3.11,,
T,2022-01-21 11:41:40,48.284989599,8.850436603,513.4,7.6,1.0,10.155,2.11,,
T,2022-01-21 11:41:42,48.284971439,8.850434084,513.5,3.7,1.7,10.158,2.03,,
T,2022-01-21 11:41:45,48.284954173,8.850430208,513.5,2.3,2.0,10.159,1.94,,
T,2022-01-21 11:41:48,48.284953051,8.850418592,513.5,1.0,3.1,10.160,0.87,,
T,2022-01-21 11:41:56,48.284947170,8.850388512,513.6,1.0,1.7,10.163,2.33,,
T,2022-01-21 11:41:57,48.284946913,8.850363286,513.6,6.7,0.2,10.165,1.87,,
T,2022-01-21 11:41:58,48.284932371,8.850328803,513.6,10.9,0.1,10.168,3.03,,
T,2022-01-21 11:41:59,48.284909243,8.850288171,513.6,14.3,0.1,10.172,3.96,,
T,2022-01-21 11:42:00,48.284882548,8.850237384,513.6,17.3,0.0,10.176,4.80,,
T,2022-01-21 11:42:01,48.284848518,8.850182578,513.6,20.0,0.0,10.182,5.56,,
T,2022-01-21 11:42:02,48.284819214,8.850118604,513.6,20.7,0.0,10.188,5.76,,
T,2022-01-21 11:42:03,48.284801372,8.850046945,513.6,20.4,0.0,10.193,5.68,,
T,2022-01-21 11:42:04,48.284772136,8.849978924,513.6,21.6,0.0,10.199,6.00,,
T,2022-01-21 11:42:05,48.284741368,8.849906126,513.6,23.0,0.1,10.206,6.39,,
T,2022-01-21 11:42:06,48.284711538,8.849825649,513.6,24.6,0.1,10.213,6.83,,
T,2022-01-21 11:42:07,48.284674820,8.849737954,513.6,27.7,0.0,10.220,7.68,,
T,2022-01-21 11:42:08,48.284636799,8.849647914,513.6,28.5,0.0,10.228,7.91,,
T,2022-01-21 11:42:09,48.284596817,8.849556700,513.7,29.2,0.7,10.236,8.10,,
T,2022-01-21 11:42:10,48.284554792,8.849460267,513.8,30.8,1.4,10.245,8.55,,
T,2022-01-21 11:42:11,48.284507640,8.849361004,514.0,32.6,2.0,10.254,9.04,,
T,2022-01-21 11:42:12,48.284455082,8.849258552,514.1,34.5,1.9,10.263,9.59,,
T,2022-01-21 11:42:13,48.284397427,8.849158366,514.3,35.3,1.7,10.273,9.82,,
T,2022-01-21 11:42:14,48.284331723,8.849065491,514.5,36.2,1.5,10.283,10.04,,
T,2022-01-21 11:42:15,48.284262063,8.848978127,514.6,36.4,1.3,10.293,10.10,,
T,2022-01-21 11:42:16,48.284190148,8.848894893,514.7,36.4,1.1,10.303,10.10,,
T,2022-01-21 11:42:17,48.284112772,8.848831845,514.8,35.3,1.1,10.313,9.79,,
T,2022-01-21 11:42:18,48.284030325,8.848776684,514.9,36.1,0.9,10.323,10.04,,
T,2022-01-21 11:42:19,48.283940995,8.848733106,515.0,37.6,0.8,10.334,10.45,,
T,2022-01-21 11:42:20,48.283851681,8.848701627,515.0,36.7,0.7,10.344,10.20,,
T,2022-01-21 11:42:21,48.283762216,8.848676028,515.1,36.5,0.8,10.354,10.13,,
T,2022-01-21 11:42:22,48.283669666,8.848653888,515.3,37.5,1.2,10.365,10.42,,
T,2022-01-21 11:42:23,48.283574915,8.848638180,515.4,38.2,1.7,10.375,10.60,,
T,2022-01-21 11:42:24,48.283480263,8.848630940,515.7,37.9,2.1,10.386,10.54,,
T,2022-01-21 11:42:25,48.283383213,8.848646634,515.9,39.1,1.9,10.397,10.85,,
T,2022-01-21 11:42:26,48.283285329,8.848668099,516.1,39.6,1.7,10.408,11.00,,
T,2022-01-21 11:42:27,48.283186764,8.848701132,516.2,40.4,1.6,10.419,11.23,,
T,2022-01-21 11:42:28,48.283090123,8.848738138,516.4,39.9,1.4,10.430,11.09,,
T,2022-01-21 11:42:29,48.282994336,8.848787460,516.5,40.5,1.3,10.441,11.26,,
T,2022-01-21 11:42:30,48.282896282,8.848850445,516.7,42.7,1.1,10.453,11.86,,
T,2022-01-21 11:42:31,48.282799540,8.848936031,516.8,45.0,0.9,10.465,12.49,,
T,2022-01-21 11:42:32,48.282704292,8.849026160,516.9,45.1,0.8,10.478,12.53,,
T,2022-01-21 11:42:33,48.282609414,8.849120642,517.0,45.6,0.7,10.491,12.67,,
T,2022-01-21 11:42:34,48.282521639,8.849232798,517.0,46.2,0.6,10.503,12.83,,
T,2022-01-21 11:42:35,48.282439890,8.849357945,517.1,46.8,0.5,10.516,13.00,,
T,2022-01-21 11:42:36,48.282359353,8.849493938,517.2,48.6,0.5,10.530,13.49,,
T,2022-01-21 11:42:37,48.282287889,8.849641120,517.2,48.6,0.4,10.543,13.51,,
T,2022-01-21 11:42:38,48.282224084,8.849788604,517.3,47.0,0.4,10.557,13.04,,
T,2022-01-21 11:42:39,48.282161721,8.849932048,517.3,45.7,0.4,10.569,12.71,,
T,2022-01-21 11:42:40,48.282102041,8.850075671,517.4,45.2,0.3,10.582,12.56,,
T,2022-01-21 11:42:41,48.282041537,8.850214554,517.4,44.3,0.3,10.594,12.31,,
T,2022-01-21 11:42:42,48.281984476,8.850346845,517.4,42.1,0.3,10.606,11.69,,
T,2022-01-21 11:42:43,48.281930462,8.850477768,517.5,41.1,0.3,10.617,11.42,,
T,2022-01-21 11:42:44,48.281887175,8.850623195,517.5,42.5,0.2,10.629,11.82,,
T,2022-01-21 11:42:45,48.281836829,8.850754180,517.5,40.4,0.2,10.640,11.22,,
T,2022-01-21 11:42:46,48.281792004,8.850868059,517.5,35.3,0.2,10.650,9.81,,
T,2022-01-21 11:42:47,48.281752626,8.850965734,517.5,30.5,-0.1,10.659,8.47,,
T,2022-01-21 11:42:48,48.281718037,8.851052709,517.5,27.1,-1.0,10.666,7.51,,
T,2022-01-21 11:42:49,48.281686302,8.851131245,517.3,24.5,-2.0,10.673,6.81,,
T,2022-01-21 11:42:50,48.281646551,8.851186313,517.1,21.7,-2.9,10.679,6.02,,
T,2022-01-21 11:42:51,48.281624135,8.851240241,517.0,17.0,-3.4,10.684,4.72,,
T,2022-01-21 11:42:52,48.281603396,8.851282232,516.8,14.0,-3.7,10.687,3.88,,
T,2022-01-21 11:42:53,48.281602034,8.851339542,516.7,15.3,-3.0,10.692,4.26,,
T,2022-01-21 11:42:54,48.281589193,8.851371751,516.6,10.0,-4.1,10.694,2.78,,
T,2022-01-21 11:42:55,48.281575738,8.851402530,516.5,9.8,-3.7,10.697,2.73,,
T,2022-01-21 11:42:56,48.281566142,8.851432462,516.4,8.9,-4.1,10.700,2.46,,
T,2022-01-21 11:43:00,48.281554501,8.851456187,516.0,2.0,-19.5,10.702,2.19,,
T,2022-01-21 11:43:02,48.281536778,8.851441876,515.8,4.0,-7.1,10.704,2.24,,
T,2022-01-21 11:43:04,48.281520365,8.851467113,515.7,4.7,-4.5,10.707,2.62,,
T,2022-01-21 11:43:05,48.281503533,8.851499215,515.6,10.9,-2.1,10.710,3.03,,
T,2022-01-21 11:43:06,48.281483189,8.851536975,515.6,13.0,-2.3,10.713,3.60,,
T,2022-01-21 11:43:07,48.281461694,8.851577614,515.4,13.9,-2.7,10.717,3.85,,
T,2022-01-21 11:43:08,48.281429756,8.851627358,515.3,18.4,-2.4,10.722,5.12,,
T,2022-01-21 11:43:09,48.281388496,8.851695045,515.2,24.5,-2.2,10.729,6.80,,
T,2022-01-21 11:43:10,48.281341763,8.851776783,515.0,28.8,-2.1,10.737,7.99,,
T,2022-01-21 11:43:11,48.281270937,8.851801982,514.9,29.1,-1.6,10.745,8.09,,
T,2022-01-21 11:43:12,48.281205957,8.851846619,514.8,28.6,-1.3,10.753,7.95,,
T,2022-01-21 11:43:13,48.281138917,8.851892673,514.7,29.5,-1.2,10.761,8.20,,
T,2022-01-21 11:43:14,48.281067958,8.851930775,514.6,30.2,-1.3,10.770,8.38,,
T,2022-01-21 11:43:15,48.280996646,8.851957575,514.5,29.4,-1.1,10.778,8.18,,
T,2022-01-21 11:43:16,48.280925283,8.851981571,514.4,29.3,-0.5,10.786,8.13,,
T,2022-01-21 11:43:17,48.280853832,8.851998241,514.4,28.9,0.0,10.794,8.04,,
T,2022-01-21 11:43:18,48.280783091,8.852004528,514.5,28.4,0.4,10.802,7.88,,
T,2022-01-21 11:43:19,48.280707709,8.852001800,514.5,30.2,0.5,10.810,8.38,,
T,2022-01-21 11:43:20,48.280631524,8.851987633,514.6,30.7,0.5,10.819,8.54,,
T,2022-01-21 11:43:21,48.280548514,8.851982721,514.6,33.3,0.6,10.828,9.24,,
T,2022-01-21 11:43:22,48.280470160,8.851928403,514.7,34.6,0.8,10.838,9.60,,
T,2022-01-21 11:43:23,48.280396070,8.851867512,514.8,33.8,1.1,10.847,9.40,,
T,2022-01-21 11:43:24,48.280331538,8.851803911,514.9,30.9,1.1,10.856,8.59,,
T,2022-01-21 11:43:25,48.280266676,8.851727674,515.0,33.0,0.9,10.865,9.17,,
T,2022-01-21 11:43:26,48.280208064,8.851661414,515.0,29.4,0.9,10.873,8.16,,
