type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:35:00,48.286952590,8.851382071,514.7,29.8,1.4,8.253,8.27,,
T,2022-01-21 11:35:01,48.287042960,8.851392833,514.8,36.3,1.1,8.263,10.08,,
T,2022-01-21 11:35:02,48.287115582,8.851400297,515.0,29.1,2.0,8.271,8.09,,
T,2022-01-21 11:35:03,48.287188491,8.851386692,515.2,29.4,2.5,8.279,8.17,,
T,2022-01-21 11:35:04,48.287251464,8.851374840,515.4,25.4,3.4,8.286,7.06,,
T,2022-01-21 11:35:05,48.287311833,8.851373855,515.7,24.2,3.9,8.293,6.71,,
T,2022-01-21 11:35:06,48.287369777,8.851364055,516.0,23.3,4.3,8.300,6.48,,
T,2022-01-21 11:35:07,48.287423168,8.851366824,516.3,21.4,5.0,8.306,5.94,,
T,2022-01-21 11:35:08,48.287475802,8.851360698,516.6,21.1,5.3,8.311,5.87,,
T,2022-01-21 11:35:09,48.287512447,8.851363514,516.9,14.7,7.8,8.315,4.08,,
T,2022-01-21 11:35:10,48.287542143,8.851376926,517.2,12.4,8.8,8.319,3.45,,
T,2022-01-21 11:35:11,48.287560257,8.851402723,517.5,10.0,9.9,8.322,2.78,,
T,2022-01-21 11:35:12,48.287587101,8.851395428,517.7,10.9,8.1,8.325,3.03,,
T,2022-01-21 11:35:13,48.287621967,8.851387584,518.0,14.1,5.6,8.329,3.92,,
T,2022-01-21 11:35:14,48.287644778,8.851378371,518.2,9.5,7.4,8.331,2.63,,
T,2022-01-21 11:35:16,48.287658183,8.851344971,518.5,5.2,11.3,8.334,2.89,,
T,2022-01-21 11:35:19,48.287653665,8.851306398,518.9,3.5,12.8,8.337,2.91,,
T,2022-01-21 11:35:25,48.287672986,8.851341613,519.3,2.0,13.3,8.340,3.38,,
T,2022-01-21 11:35:26,48.287696151,8.851317482,519.4,11.3,1.6,8.344,3.14,,
T,2022-01-21 11:35:27,48.287721477,8.851335933,519.4,11.3,1.4,8.347,3.13,,
T,2022-01-21 11:35:28,48.287771614,8.851347540,519.4,20.3,0.7,8.352,5.64,,
T,2022-01-21 11:35:29,48.287813913,8.851322762,519.5,18.2,0.7,8.357,5.05,,
T,2022-01-21 11:35:30,48.287858936,8.851312737,519.5,18.2,1.1,8.363,5.06,,
T,2022-01-21 11:35:31,48.287881356,8.851343868,519.6,12.2,2.5,8.366,3.40,,
T,2022-01-21 11:35:32,48.287903138,8.851352755,519.7,9.0,3.8,8.368,2.51,,
T,2022-01-21 11:35:34,48.287940503,8.851438438,519.9,13.7,2.8,8.376,7.60,,
T,2022-01-21 11:35:35,48.287939535,8.851495022,520.0,15.1,3.0,8.380,4.20,,
T,2022-01-21 11:35:36,48.287958559,8.851552304,520.2,17.1,2.8,8.385,4.75,,
T,2022-01-21 11:35:37,48.287982994,8.851598419,520.3,15.7,3.2,8.389,4.37,,
T,2022-01-21 11:35:38,48.287978139,8.851667552,520.5,18.6,2.8,8.394,5.16,,
T,2022-01-21 11:35:39,48.287990029,8.851743920,520.6,20.9,2.4,8.400,5.82,,
T,2022-01-21 11:35:40,48.288001207,8.851815712,520.7,19.7,2.4,8.406,5.47,,
T,2022-01-21 11:35:41,48.288013076,8.851891940,520.9,20.9,2.0,8.412,5.81,,
T,2022-01-21 11:35:42,48.288035318,8.851965593,521.0,21.6,1.7,8.418,6.00,,
T,2022-01-21 11:35:43,48.288069900,8.852060900,521.1,29.0,1.2,8.426,8.05,,
T,2022-01-21 11:35:44,48.288084609,8.852125194,521.2,18.2,3.4,8.431,5.04,,
T,2022-01-21 11:35:45,48.288095140,8.852219295,521.4,25.5,2.9,8.438,7.08,,
T,2022-01-21 11:35:46,48.288131501,8.852290294,521.7,23.9,3.8,8.444,6.64,,
T,2022-01-21 11:35:47,48.288165358,8.852355003,522.0,22.0,4.6,8.451,6.10,,
T,2022-01-21 11:35:48,48.288188452,8.852433018,522.3,22.8,4.8,8.457,6.33,,
T,2022-01-21 11:35:49,48.288223056,8.852520663,522.6,27.2,4.4,8.464,7.56,,
T,2022-01-21 11:35:50,48.288252315,8.852598415,523.0,23.8,5.3,8.471,6.62,,
T,2022-01-21 11:35:51,48.288281950,8.852670266,523.3,22.6,5.1,8.477,6.27,,
T,2022-01-21 11:35:52,48.288321222,8.852735118,523.6,23.4,4.4,8.484,6.50,,
T,2022-01-21 11:35:53,48.288358320,8.852789786,523.8,20.8,4.4,8.490,5.79,,
T,2022-01-21 11:35:54,48.288410610,8.852836147,524.1,24.3,3.7,8.496,6.76,,
T,2022-01-21 11:35:55,48.288465881,8.852901631,524.4,28.2,3.7,8.504,7.83,,
T,2022-01-21 11:35:56,48.288525179,8.852985017,524.7,32.6,3.5,8.513,9.04,,
T,2022-01-21 11:35:57,48.288588750,8.853054377,525.0,31.5,3.8,8.522,8.74,,
T,2022-01-21 11:35:58,48.288648766,8.853122527,525.3,30.1,3.8,8.530,8.37,,
T,2022-01-21 11:35:59,48.288707535,8.853189260,525.6,29.5,3.5,8.539,8.20,,
T,2022-01-21 11:36:00,48.288752884,8.853245628,525.9,23.6,3.9,8.545,6.55,,
T,2022-01-21 11:36:01,48.288798454,8.853300773,526.1,23.4,3.5,8.552,6.51,,
T,2022-01-21 11:36:02,48.288851427,8.853364878,526.3,27.3,2.7,8.559,7.57,,
T,2022-01-21 11:36:03,48.288900571,8.853424348,526.5,25.3,2.6,8.566,7.02,,
T,2022-01-21 11:36:04,48.288948393,8.853479180,526.6,24.1,2.2,8.573,6.70,,
T,2022-01-21 11:36:05,48.288989746,8.853528476,526.7,21.2,1.6,8.579,5.88,,
T,2022-01-21 11:36:06,48.289026068,8.853571999,526.7,18.6,0.7,8.584,5.17,,
T,2022-01-21 11:36:07,48.289063820,8.853616338,526.7,19.2,-0.2,8.589,5.33,,
T,2022-01-21 11:36:08,48.289102059,8.853647283,526.7,17.4,-1.2,8.594,4.83,,
T,2022-01-21 11:36:09,48.289131886,8.853709909,526.6,20.6,-1.4,8.600,5.71,,
T,2022-01-21 11:36:10,48.289145487,8.853763547,526.5,15.3,-1.7,8.604,4.26,,
T,2022-01-21 11:36:11,48.289152922,8.853799490,526.5,10.1,-2.4,8.607,2.79,,
T,2022-01-21 11:36:12,48.289164001,8.853839262,526.4,11.5,-1.8,8.610,3.20,,
T,2022-01-21 11:36:13,48.289188179,8.853862588,526.3,11.5,-1.6,8.613,3.20,,
T,2022-01-21 11:36:14,48.289203168,8.853895451,526.3,10.6,-1.6,8.616,2.95,,
T,2022-01-21 11:36:15,48.289217670,8.853927244,526.3,10.3,-1.5,8.619,2.86,,
T,2022-01-21 11:36:16,48.289230861,8.853957443,526.2,9.6,-1.4,8.622,2.68,,
T,2022-01-21 11:36:17,48.289242977,8.853984960,526.2,8.8,-1.4,8.624,2.45,,
T,2022-01-21 11:36:18,48.289238134,8.854017609,526.2,8.9,-1.2,8.627,2.48,,
T,2022-01-21 11:36:20,48.289261055,8.854046287,526.1,6.0,-1.5,8.630,3.32,,
T,2022-01-21 11:36:21,48.289280498,8.854063312,526.1,9.0,-0.8,8.632,2.50,,
T,2022-01-21 11:36:22,48.289299676,8.854082720,526.1,9.3,-0.7,8.635,2.57,,
T,2022-01-21 11:36:23,48.289323503,8.854104403,526.1,11.2,-0.5,8.638,3.10,,
T,2022-01-21 11:36:24,48.289355070,8.854124692,526.0,13.7,-0.4,8.642,3.82,,
T,2022-01-21 11:36:25,48.289386769,8.854142031,526.0,13.5,-0.4,8.646,3.75,,
T,2022-01-21 11:36:26,48.289401250,8.854203278,526.0,17.4,-0.2,8.651,4.82,,
