type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 14:23:20,48.291856595,8.852784513,528.5,,,0.000,,2_Sportfahrt_LiegnitzerStr-Gymnasium,
T,2022-01-21 14:23:21,48.291856816,8.852780643,528.6,1.0,30.6,0.000,0.29,,
T,2022-01-21 14:23:23,48.291859068,8.852741263,528.7,5.3,6.5,0.003,2.93,,
T,2022-01-21 14:23:24,48.291880746,8.852737067,528.8,8.7,4.1,0.006,2.43,,
T,2022-01-21 14:23:25,48.291875973,8.852678647,528.9,15.7,2.2,0.010,4.37,,
T,2022-01-21 14:23:26,48.291870093,8.852606692,529.0,19.4,1.8,0.015,5.38,,
T,2022-01-21 14:23:27,48.291863500,8.852525997,529.1,21.7,1.7,0.021,6.03,,
T,2022-01-21 14:23:28,48.291859641,8.852446652,529.2,21.3,1.6,0.027,5.90,,
T,2022-01-21 14:23:29,48.291842787,8.852355073,529.3,25.4,1.2,0.034,7.05,,
T,2022-01-21 14:23:30,48.291824125,8.852253661,529.4,28.1,1.0,0.042,7.81,,
T,2022-01-21 14:23:31,48.291805841,8.852154312,529.5,27.5,0.9,0.050,7.65,,
T,2022-01-21 14:23:32,48.291835537,8.852029739,529.5,35.3,0.6,0.060,9.82,,
T,2022-01-21 14:23:33,48.291799450,8.851931151,529.6,30.0,0.6,0.068,8.34,,
T,2022-01-21 14:23:34,48.291758236,8.851830706,529.6,31.5,0.5,0.077,8.75,,
T,2022-01-21 14:23:35,48.291707603,8.851744049,529.7,30.8,0.5,0.085,8.55,,
T,2022-01-21 14:23:36,48.291654948,8.851666764,529.7,29.5,0.5,0.093,8.20,,
T,2022-01-21 14:23:37,48.291604085,8.851592110,529.8,28.5,0.9,0.101,7.92,,
T,2022-01-21 14:23:38,48.291554228,8.851517341,529.9,28.2,1.3,0.109,7.84,,
T,2022-01-21 14:23:39,48.291504501,8.851441695,530.0,28.4,1.6,0.117,7.88,,
T,2022-01-21 14:23:40,48.291454534,8.851370794,530.2,27.5,2.0,0.125,7.65,,
T,2022-01-21 14:23:41,48.291402750,8.851297313,530.3,28.5,2.2,0.133,7.93,,
T,2022-01-21 14:23:42,48.291351837,8.851223408,530.5,28.4,1.9,0.141,7.88,,
T,2022-01-21 14:23:43,48.291300975,8.851141081,530.6,30.0,1.1,0.149,8.33,,
T,2022-01-21 14:23:44,48.291251854,8.851061575,530.6,28.9,0.7,0.157,8.04,,
T,2022-01-21 14:23:45,48.291210416,8.850986672,530.7,26.0,0.8,0.164,7.22,,
T,2022-01-21 14:23:46,48.291159812,8.850931640,530.8,25.0,1.2,0.171,6.95,,
T,2022-01-21 14:23:47,48.291135718,8.850867910,530.9,19.6,1.8,0.177,5.44,,
T,2022-01-21 14:23:48,48.291118291,8.850819291,531.0,14.7,2.7,0.181,4.10,,
T,2022-01-21 14:23:49,48.291105714,8.850785691,531.1,10.3,3.6,0.184,2.86,,
T,2022-01-21 14:23:50,48.291096061,8.850762643,531.1,7.3,3.6,0.186,2.02,,
T,2022-01-21 14:23:51,48.291087158,8.850731347,531.2,9.1,1.8,0.188,2.52,,
T,2022-01-21 14:23:52,48.291076708,8.850703411,531.2,8.6,0.7,0.190,2.38,,
T,2022-01-21 14:23:53,48.291065793,8.850665112,531.2,11.1,-0.2,0.194,3.09,,
T,2022-01-21 14:23:54,48.291057457,8.850617295,531.2,13.2,-1.0,0.197,3.67,,
