type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),eos,name,desc
T,2022-01-21 08:57:01,48.273036358,8.865522311,553.2,4.2,9.6,8.609,2.35,,,
T,2022-01-21 08:57:02,48.273037259,8.865518141,553.3,1.2,30.2,8.610,0.33,,,
T,2022-01-21 09:01:03,48.273113884,8.865537756,554.2,0.1,9.6,8.618,8.64,,,
T,2022-01-21 09:01:05,48.273135165,8.865536955,554.1,4.3,-2.3,8.621,2.37,,,
T,2022-01-21 09:01:06,48.273155062,8.865545552,554.1,8.3,-1.4,8.623,2.30,,,
T,2022-01-21 09:01:07,48.273180099,8.865567076,554.0,11.6,-1.0,8.626,3.21,,,
T,2022-01-21 09:01:08,48.273213383,8.865582573,554.0,14.0,-0.7,8.630,3.88,,,
T,2022-01-21 09:01:09,48.273250957,8.865591616,554.0,15.2,-0.9,8.634,4.23,,,
T,2022-01-21 09:01:10,48.273291514,8.865602439,553.9,16.5,-1.2,8.639,4.58,,,
T,2022-01-21 09:01:11,48.273328018,8.865619163,553.8,15.3,-1.7,8.643,4.24,,,
T,2022-01-21 09:01:12,48.273364037,8.865627556,553.8,14.6,-2.0,8.647,4.05,,,
T,2022-01-21 09:01:13,48.273400488,8.865631327,553.7,14.6,-2.2,8.651,4.06,,,
T,2022-01-21 09:01:14,48.273437230,8.865612197,553.6,15.6,-2.2,8.655,4.33,,,
T,2022-01-21 09:01:15,48.273473518,8.865609845,553.5,14.5,-2.4,8.659,4.04,,,
T,2022-01-21 09:01:16,48.273512769,8.865609845,553.4,15.7,-2.3,8.664,4.36,,,
T,2022-01-21 09:01:17,48.273538405,8.865580419,553.3,12.9,-2.9,8.667,3.59,,,
T,2022-01-21 09:01:18,48.273579158,8.865562560,553.2,17.0,-2.5,8.672,4.72,,,
T,2022-01-21 09:01:19,48.273612226,8.865532520,553.0,15.5,-3.6,8.676,4.30,,,
T,2022-01-21 09:01:20,48.273664358,8.865525223,552.8,21.0,-3.7,8.682,5.82,,,
T,2022-01-21 09:01:21,48.273703279,8.865508167,552.5,16.2,-5.8,8.687,4.51,,,
T,2022-01-21 09:01:22,48.273753437,8.865556502,552.2,23.9,-4.3,8.693,6.63,,,
T,2022-01-21 09:01:23,48.273796111,8.865573780,552.0,17.7,-6.0,8.698,4.92,,,
