type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 10:13:49,48.279149252,8.850322055,517.7,6.8,0.1,24.470,3.76,,
T,2022-01-21 10:13:51,48.279125140,8.850321053,517.7,4.8,0.1,24.473,2.68,,
T,2022-01-21 10:13:53,48.279085960,8.850319423,517.7,7.8,0.1,24.478,4.36,,
T,2022-01-21 10:13:54,48.279056692,8.850318206,517.7,11.7,0.0,24.481,3.26,,
T,2022-01-21 10:13:55,48.279032041,8.850318155,517.7,9.9,0.0,24.484,2.74,,
T,2022-01-21 10:13:56,48.278998190,8.850315457,517.7,13.6,0.0,24.487,3.77,,
T,2022-01-21 10:13:57,48.278964220,8.850312750,517.7,13.6,0.0,24.491,3.78,,
T,2022-01-21 10:13:58,48.278932406,8.850310214,517.7,12.8,0.0,24.495,3.54,,
T,2022-01-21 10:13:59,48.278898327,8.850307498,517.7,13.7,0.0,24.498,3.79,,
T,2022-01-21 10:14:00,48.278869385,8.850305191,517.7,11.6,0.0,24.502,3.22,,
T,2022-01-21 10:14:01,48.278846606,8.850303375,517.7,9.1,0.0,24.504,2.54,,
T,2022-01-21 10:14:11,48.278828528,8.850301934,517.7,0.7,0.1,24.506,2.01,,
T,2022-01-21 10:14:12,48.278827264,8.850333464,517.7,8.4,0.0,24.509,2.34,,
T,2022-01-21 10:14:13,48.278827042,8.850301816,517.7,8.5,0.0,24.511,2.35,,
T,2022-01-21 10:14:14,48.278829247,8.850338674,517.7,9.9,0.0,24.514,2.75,,
T,2022-01-21 10:14:15,48.278833022,8.850696775,517.7,95.7,0.0,24.540,26.58,,
T,2022-01-21 10:14:16,48.278835653,8.850723466,517.7,7.2,0.0,24.542,2.00,,
T,2022-01-21 10:14:17,48.278838818,8.850754910,517.7,8.5,0.0,24.545,2.36,,
T,2022-01-21 10:14:18,48.278839055,8.850793585,517.7,10.3,0.0,24.547,2.87,,
T,2022-01-21 10:14:19,48.278819740,8.850809388,517.7,8.8,0.0,24.550,2.45,,
T,2022-01-21 10:14:20,48.278804587,8.850834183,517.7,9.0,0.0,24.552,2.50,,
T,2022-01-21 10:14:21,48.278779834,8.850848391,517.7,10.6,-0.0,24.555,2.95,,
T,2022-01-21 10:14:22,48.278744274,8.850841212,517.7,14.4,-0.3,24.559,3.99,,
T,2022-01-21 10:14:23,48.278698633,8.850830177,517.7,18.5,-0.1,24.564,5.14,,
T,2022-01-21 10:14:24,48.278650907,8.850838392,517.7,19.2,0.0,24.570,5.34,,
T,2022-01-21 10:14:25,48.278600693,8.850848143,517.7,20.3,-0.0,24.575,5.63,,
T,2022-01-21 10:14:26,48.278547914,8.850854113,517.7,21.2,-0.3,24.581,5.89,,
T,2022-01-21 10:14:27,48.278496006,8.850859200,517.6,20.8,-0.9,24.587,5.78,,
