type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:05:23,48.272856469,8.867470661,566.3,,,0.000,,4_Fahrt2222-Fahrt2223-Depot,
T,2022-01-21 11:05:24,48.272794991,8.867486250,566.5,25.0,2.9,0.007,6.93,,
T,2022-01-21 11:05:25,48.272735771,8.867504601,566.7,24.2,3.5,0.014,6.72,,
T,2022-01-21 11:05:26,48.272680038,8.867540512,567.0,24.3,3.6,0.020,6.75,,
T,2022-01-21 11:05:27,48.272627940,8.867596703,567.2,25.7,3.4,0.028,7.14,,
T,2022-01-21 11:05:28,48.272579561,8.867653467,567.5,24.6,3.8,0.034,6.83,,
T,2022-01-21 11:05:29,48.272542730,8.867723688,567.8,23.9,4.2,0.041,6.63,,
T,2022-01-21 11:05:30,48.272506897,8.867795891,568.1,24.0,4.5,0.048,6.68,,
T,2022-01-21 11:05:31,48.272477285,8.867877851,568.4,24.9,4.5,0.055,6.92,,
T,2022-01-21 11:05:32,48.272462361,8.867969000,568.6,25.1,3.9,0.062,6.97,,
T,2022-01-21 11:05:33,48.272448586,8.868056564,568.9,24.0,3.4,0.068,6.68,,
T,2022-01-21 11:05:34,48.272431831,8.868140141,569.1,23.3,3.0,0.075,6.48,,
T,2022-01-21 11:05:35,48.272416145,8.868227742,569.2,24.2,2.4,0.081,6.73,,
T,2022-01-21 11:05:36,48.272411580,8.868318285,569.4,24.3,2.1,0.088,6.74,,
T,2022-01-21 11:05:37,48.272408817,8.868393012,569.5,20.0,2.3,0.094,5.56,,
T,2022-01-21 11:05:38,48.272407913,8.868465774,569.7,19.4,2.9,0.099,5.40,,
T,2022-01-21 11:05:39,48.272408729,8.868527141,569.8,16.4,4.3,0.104,4.56,,
T,2022-01-21 11:05:40,48.272412326,8.868587856,570.0,16.3,4.5,0.108,4.52,,
T,2022-01-21 11:05:41,48.272414689,8.868640787,570.3,14.2,5.3,0.112,3.94,,
T,2022-01-21 11:05:42,48.272419494,8.868673894,570.5,9.1,8.8,0.115,2.52,,
T,2022-01-21 11:05:43,48.272495386,8.868723083,570.7,33.1,2.5,0.124,9.19,,
T,2022-01-21 11:05:44,48.272545443,8.868706407,571.0,20.5,4.8,0.130,5.70,,
T,2022-01-21 11:05:45,48.272601161,8.868687844,571.3,22.8,4.8,0.136,6.35,,
T,2022-01-21 11:05:46,48.272657869,8.868669960,571.6,23.2,4.6,0.142,6.44,,
T,2022-01-21 11:05:47,48.272717632,8.868654207,571.9,24.3,4.4,0.149,6.75,,
T,2022-01-21 11:05:48,48.272779118,8.868637294,572.2,25.0,4.3,0.156,6.95,,
T,2022-01-21 11:05:49,48.272845245,8.868618498,572.5,26.9,4.1,0.164,7.48,,
T,2022-01-21 11:05:50,48.272916798,8.868588273,572.8,29.8,3.7,0.172,8.27,,
T,2022-01-21 11:05:51,48.272992059,8.868567616,573.1,30.6,3.9,0.180,8.51,,
T,2022-01-21 11:05:52,48.273070570,8.868559361,573.4,31.5,3.7,0.189,8.75,,
T,2022-01-21 11:05:53,48.273147478,8.868541681,573.8,31.1,3.8,0.198,8.65,,
T,2022-01-21 11:05:54,48.273227708,8.868532835,574.1,32.2,3.6,0.207,8.95,,
T,2022-01-21 11:05:55,48.273311457,8.868560273,574.4,34.3,3.6,0.216,9.53,,
T,2022-01-21 11:05:56,48.273394812,8.868553973,574.8,33.4,4.4,0.225,9.28,,
T,2022-01-21 11:05:57,48.273482135,8.868552157,575.2,35.0,4.0,0.235,9.71,,
T,2022-01-21 11:05:58,48.273569989,8.868574780,575.6,35.7,3.6,0.245,9.91,,
T,2022-01-21 11:05:59,48.273659392,8.868614858,575.9,37.4,3.4,0.255,10.38,,
T,2022-01-21 11:06:00,48.273750467,8.868664425,576.3,38.8,3.3,0.266,10.77,,
T,2022-01-21 11:06:01,48.273839104,8.868707811,576.7,37.3,3.4,0.277,10.37,,
T,2022-01-21 11:06:02,48.273923965,8.868741508,577.0,35.1,3.6,0.286,9.76,,
