type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 12:30:45,48.279913844,8.850644899,517.7,7.9,0.0,25.299,4.38,,
T,2022-01-21 12:30:46,48.279890233,8.850352874,517.7,78.6,0.0,25.321,21.83,,
T,2022-01-21 12:30:47,48.279857200,8.850351500,517.7,13.2,0.0,25.324,3.67,,
T,2022-01-21 12:30:48,48.279820030,8.850349954,517.7,14.9,0.0,25.329,4.13,,
T,2022-01-21 12:30:49,48.279779051,8.850348249,517.7,16.4,0.0,25.333,4.56,,
T,2022-01-21 12:30:50,48.279733248,8.850346344,517.7,18.3,0.0,25.338,5.10,,
T,2022-01-21 12:30:51,48.279685879,8.850344374,517.7,19.0,0.0,25.343,5.27,,
T,2022-01-21 12:30:52,48.279638843,8.850342418,517.7,18.8,0.0,25.349,5.23,,
T,2022-01-21 12:30:53,48.279591261,8.850340439,517.7,19.1,0.0,25.354,5.29,,
T,2022-01-21 12:30:54,48.279541882,8.850338385,517.7,19.8,0.0,25.359,5.49,,
T,2022-01-21 12:30:55,48.279491053,8.850336271,517.7,20.4,0.0,25.365,5.65,,
T,2022-01-21 12:30:56,48.279436824,8.850334016,517.7,21.7,0.0,25.371,6.03,,
T,2022-01-21 12:30:57,48.279381353,8.850331709,517.7,22.2,0.0,25.377,6.17,,
T,2022-01-21 12:30:58,48.279323810,8.850329315,517.7,23.0,0.0,25.384,6.40,,
T,2022-01-21 12:30:59,48.279266148,8.850326917,517.7,23.1,0.0,25.390,6.41,,
T,2022-01-21 12:31:00,48.279208573,8.850324523,517.7,23.1,0.0,25.397,6.40,,
T,2022-01-21 12:31:01,48.279154097,8.850322257,517.7,21.8,0.0,25.403,6.06,,
T,2022-01-21 12:31:02,48.279104154,8.850320180,517.7,20.0,0.0,25.408,5.56,,
T,2022-01-21 12:31:03,48.279055700,8.850318164,517.7,19.4,0.0,25.414,5.39,,
T,2022-01-21 12:31:04,48.279014238,8.850316736,517.7,16.6,0.0,25.418,4.61,,
T,2022-01-21 12:31:05,48.278974192,8.850313544,517.7,16.1,0.0,25.423,4.46,,
T,2022-01-21 12:31:06,48.278938503,8.850310700,517.7,14.3,0.0,25.427,3.97,,
T,2022-01-21 12:31:07,48.278906653,8.850308161,517.7,12.8,0.0,25.430,3.55,,
T,2022-01-21 12:31:08,48.278878167,8.850305891,517.7,11.4,0.0,25.433,3.17,,
T,2022-01-21 12:31:09,48.278849516,8.850303607,517.7,11.5,0.0,25.437,3.19,,
T,2022-01-21 12:31:10,48.278820146,8.850301266,517.7,11.8,0.0,25.440,3.27,,
T,2022-01-21 12:31:11,48.278798628,8.850331422,517.7,11.8,0.0,25.443,3.28,,
T,2022-01-21 12:31:13,48.278778097,8.850371427,517.7,6.7,0.0,25.447,3.75,,
T,2022-01-21 12:31:14,48.278761165,8.850688652,517.7,85.0,0.0,25.470,23.62,,
T,2022-01-21 12:31:15,48.278769591,8.850720014,517.7,9.0,0.0,25.473,2.51,,
T,2022-01-21 12:31:17,48.278767903,8.850768915,517.7,6.5,0.0,25.477,3.63,,
T,2022-01-21 12:31:19,48.278769448,8.850819911,517.7,6.8,0.0,25.480,3.79,,
T,2022-01-21 12:31:20,48.278772457,8.850848442,517.7,7.7,0.0,25.483,2.14,,
T,2022-01-21 12:31:21,48.278777223,8.850886806,517.7,10.4,-0.4,25.485,2.90,,
T,2022-01-21 12:31:22,48.278794566,8.850930423,517.7,13.6,-1.0,25.489,3.77,,
T,2022-01-21 12:31:23,48.278823848,8.850968644,517.6,15.5,-1.6,25.493,4.32,,
T,2022-01-21 12:31:24,48.278860219,8.850998323,517.5,16.6,-2.0,25.498,4.61,,
T,2022-01-21 12:31:25,48.278904014,8.851015654,517.4,18.1,-2.1,25.503,5.04,,
T,2022-01-21 12:31:26,48.278949897,8.851026129,517.3,18.6,-2.1,25.508,5.16,,
