type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:44:38,48.278784153,8.850866002,517.6,86.9,-0.1,11.239,48.26,,
T,2022-01-21 11:44:39,48.278777779,8.850903399,517.5,10.3,-1.9,11.241,2.86,,
T,2022-01-21 11:44:41,48.278734516,8.850899795,517.4,8.7,-2.9,11.246,4.82,,
T,2022-01-21 11:44:42,48.278702435,8.850899207,517.3,12.8,-2.1,11.250,3.57,,
T,2022-01-21 11:44:43,48.278654337,8.850897858,517.2,19.3,-1.4,11.255,5.35,,
T,2022-01-21 11:44:44,48.278598381,8.850900757,517.1,22.4,-1.3,11.261,6.23,,
T,2022-01-21 11:44:45,48.278534941,8.850904341,517.1,25.4,-1.1,11.268,7.06,,
T,2022-01-21 11:44:46,48.278463392,8.850910626,517.0,28.7,-1.2,11.276,7.97,,
T,2022-01-21 11:44:47,48.278389058,8.850920968,516.9,29.9,-1.3,11.285,8.30,,
T,2022-01-21 11:44:48,48.278310339,8.850934356,516.7,31.7,-1.3,11.294,8.81,,
T,2022-01-21 11:44:49,48.278234899,8.850945833,516.6,30.4,-1.4,11.302,8.43,,
T,2022-01-21 11:44:50,48.278161744,8.850956393,516.5,29.4,-1.3,11.310,8.17,,
T,2022-01-21 11:44:51,48.278090738,8.850966642,516.4,28.6,-1.2,11.318,7.93,,
T,2022-01-21 11:44:52,48.278022848,8.850970332,516.3,27.2,-1.1,11.326,7.55,,
T,2022-01-21 11:44:53,48.277955941,8.850973960,516.3,26.8,-1.0,11.333,7.44,,
T,2022-01-21 11:44:54,48.277887509,8.850977670,516.2,27.4,-0.9,11.341,7.61,,
T,2022-01-21 11:44:55,48.277822569,8.851015616,516.1,27.9,-0.8,11.348,7.75,,
T,2022-01-21 11:44:56,48.277757977,8.851024595,516.1,26.0,-0.7,11.356,7.21,,
T,2022-01-21 11:44:57,48.277694083,8.851033331,516.0,25.7,-0.7,11.363,7.13,,
T,2022-01-21 11:44:58,48.277631874,8.851045914,516.0,25.1,-0.6,11.370,6.98,,
T,2022-01-21 11:44:59,48.277568142,8.851053716,516.0,25.6,-0.5,11.377,7.11,,
T,2022-01-21 11:45:00,48.277504058,8.851064219,515.9,25.8,-0.5,11.384,7.17,,
T,2022-01-21 11:45:01,48.277438849,8.851074694,515.9,26.3,-0.4,11.391,7.29,,
T,2022-01-21 11:45:02,48.277371031,8.851062454,515.9,27.3,-0.3,11.399,7.60,,
T,2022-01-21 11:45:03,48.277307352,8.851071807,515.9,25.6,-0.3,11.406,7.11,,
T,2022-01-21 11:45:04,48.277247313,8.851082469,515.8,24.2,-0.3,11.413,6.72,,
T,2022-01-21 11:45:05,48.277187181,8.851092369,515.8,24.2,-0.3,11.419,6.73,,
T,2022-01-21 11:45:06,48.277120569,8.851102074,515.8,26.8,-0.3,11.427,7.44,,
T,2022-01-21 11:45:07,48.277055640,8.851111535,515.8,26.1,-0.4,11.434,7.25,,
T,2022-01-21 11:45:08,48.276992647,8.851148821,515.7,27.1,-0.4,11.442,7.53,,
T,2022-01-21 11:45:09,48.276926438,8.851156886,515.7,26.6,-0.5,11.449,7.39,,
T,2022-01-21 11:45:10,48.276859520,8.851163506,515.7,26.8,-0.5,11.457,7.46,,
