type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 14:36:46,48.274443236,8.877995622,576.0,,,0.000,,5_,
T,2022-01-21 14:36:48,48.274442612,8.878032661,575.8,5.0,-6.2,0.003,2.75,,
T,2022-01-21 14:36:49,48.274441843,8.878070434,575.7,10.1,-2.6,0.006,2.81,,
T,2022-01-21 14:36:50,48.274440685,8.878127255,575.7,15.2,-1.5,0.010,4.22,,
T,2022-01-21 14:36:51,48.274439503,8.878185278,575.6,15.5,-1.3,0.014,4.31,,
T,2022-01-21 14:36:52,48.274438502,8.878234402,575.6,13.1,-1.4,0.018,3.65,,
T,2022-01-21 14:36:53,48.274437816,8.878268045,575.5,9.0,-1.8,0.020,2.50,,
T,2022-01-21 14:36:55,48.274445876,8.878271591,575.4,1.7,-8.2,0.021,0.93,,
T,2022-01-21 14:36:56,48.274466064,8.878285204,575.4,8.9,-1.3,0.024,2.46,,
T,2022-01-21 14:36:57,48.274488247,8.878295163,575.4,9.3,-1.0,0.026,2.57,,
T,2022-01-21 14:36:58,48.274507920,8.878327532,575.3,11.7,-0.7,0.029,3.25,,
T,2022-01-21 14:36:59,48.274530718,8.878364081,575.3,13.4,-0.6,0.033,3.71,,
T,2022-01-21 14:37:00,48.274548463,8.878415491,575.3,15.5,-0.5,0.037,4.30,,
T,2022-01-21 14:37:01,48.274475018,8.878484369,575.3,34.7,-0.2,0.047,9.64,,
T,2022-01-21 14:37:02,48.274472317,8.878578430,575.3,25.2,-0.2,0.054,6.99,,
T,2022-01-21 14:37:03,48.274468068,8.878695257,575.3,31.3,-0.2,0.063,8.68,,
T,2022-01-21 14:37:04,48.274462556,8.878810962,575.2,31.0,-0.7,0.071,8.61,,
T,2022-01-21 14:37:05,48.274453979,8.878935897,575.1,33.6,-1.3,0.081,9.32,,
T,2022-01-21 14:37:06,48.274441034,8.879047355,574.9,30.2,-1.8,0.089,8.40,,
T,2022-01-21 14:37:07,48.274424857,8.879157958,574.8,30.3,-1.8,0.098,8.40,,
T,2022-01-21 14:37:08,48.274407408,8.879249755,574.6,25.5,-2.1,0.105,7.08,,
T,2022-01-21 14:37:09,48.274393463,8.879340801,574.5,25.0,-2.2,0.112,6.93,,
T,2022-01-21 14:37:10,48.274372028,8.879412215,574.3,20.9,-2.9,0.117,5.81,,
T,2022-01-21 14:37:11,48.274358320,8.879475721,574.1,17.8,-3.6,0.122,4.95,,
T,2022-01-21 14:37:12,48.274343528,8.879523553,573.9,14.1,-5.0,0.126,3.91,,
T,2022-01-21 14:37:13,48.274331614,8.879572251,573.7,13.9,-5.4,0.130,3.85,,
T,2022-01-21 14:37:14,48.274315401,8.879610454,573.5,12.1,-6.4,0.133,3.36,,
T,2022-01-21 14:37:15,48.274284741,8.879630745,573.3,13.4,-5.8,0.137,3.73,,
T,2022-01-21 14:37:16,48.274245438,8.879630959,573.1,15.7,-4.8,0.142,4.37,,
T,2022-01-21 14:37:17,48.274198009,8.879614828,572.9,19.5,-3.7,0.147,5.41,,
T,2022-01-21 14:37:18,48.274143182,8.879570978,572.7,24.9,-2.7,0.154,6.91,,
T,2022-01-21 14:37:19,48.274075607,8.879530444,572.5,29.1,-2.1,0.162,8.09,,
T,2022-01-21 14:37:20,48.273992237,8.879500255,572.4,34.3,-1.2,0.171,9.54,,
T,2022-01-21 14:37:21,48.273903679,8.879472080,572.4,36.2,-0.4,0.182,10.07,,
