type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 15:02:30,48.289545284,8.848432485,534.3,8.0,5.4,9.346,2.23,,
T,2022-01-21 15:02:31,48.289520886,8.848449256,534.4,10.7,4.1,9.349,2.98,,
T,2022-01-21 15:02:32,48.289492838,8.848475331,534.5,13.2,3.5,9.353,3.67,,
T,2022-01-21 15:02:33,48.289435154,8.848523165,534.7,26.4,1.9,9.360,7.33,,
T,2022-01-21 15:02:34,48.289431588,8.848604061,534.8,21.7,2.5,9.366,6.02,,
T,2022-01-21 15:02:35,48.289411119,8.848682608,535.0,22.5,2.5,9.372,6.26,,
T,2022-01-21 15:02:36,48.289394085,8.848765996,535.1,23.3,2.4,9.379,6.47,,
T,2022-01-21 15:02:37,48.289376965,8.848851730,535.3,23.9,2.3,9.385,6.64,,
T,2022-01-21 15:02:38,48.289360083,8.848940043,535.4,24.5,2.2,9.392,6.82,,
T,2022-01-21 15:02:39,48.289339630,8.849029202,535.6,25.2,2.1,9.399,7.00,,
T,2022-01-21 15:02:40,48.289318448,8.849117477,535.7,25.1,2.1,9.406,6.96,,
T,2022-01-21 15:02:41,48.289299462,8.849200964,535.9,23.6,2.3,9.413,6.55,,
T,2022-01-21 15:02:42,48.289279792,8.849279641,536.0,22.4,2.0,9.419,6.23,,
T,2022-01-21 15:02:43,48.289264323,8.849350058,536.0,19.8,1.2,9.424,5.50,,
T,2022-01-21 15:02:44,48.289268528,8.849419859,536.1,18.7,0.3,9.430,5.20,,
T,2022-01-21 15:02:45,48.289258090,8.849484571,536.0,17.8,-0.5,9.435,4.94,,
T,2022-01-21 15:02:46,48.289247787,8.849548439,536.0,17.6,-0.8,9.439,4.88,,
T,2022-01-21 15:02:47,48.289237326,8.849613297,536.0,17.8,-0.6,9.444,4.95,,
T,2022-01-21 15:02:48,48.289229219,8.849680185,535.9,18.2,-0.3,9.449,5.04,,
T,2022-01-21 15:02:49,48.289220361,8.849758159,535.9,21.1,-0.2,9.455,5.87,,
T,2022-01-21 15:02:50,48.289197603,8.849839602,535.9,23.6,-0.4,9.462,6.55,,
T,2022-01-21 15:02:51,48.289194595,8.849931575,535.8,24.6,-1.1,9.469,6.83,,
T,2022-01-21 15:02:52,48.289184184,8.850028567,535.7,26.2,-1.8,9.476,7.29,,
T,2022-01-21 15:02:53,48.289169042,8.850123662,535.5,26.1,-2.6,9.483,7.25,,
T,2022-01-21 15:02:54,48.289149861,8.850220980,535.3,27.1,-3.2,9.491,7.53,,
T,2022-01-21 15:02:55,48.289126117,8.850316576,535.0,27.2,-3.9,9.498,7.57,,
T,2022-01-21 15:02:56,48.289102029,8.850409487,534.7,26.6,-4.6,9.506,7.40,,
T,2022-01-21 15:02:57,48.289058688,8.850477060,534.3,25.0,-5.4,9.513,6.95,,
T,2022-01-21 15:02:58,48.289035603,8.850571915,533.9,27.0,-5.4,9.520,7.49,,
T,2022-01-21 15:02:59,48.288988034,8.850632247,533.5,24.9,-6.0,9.527,6.93,,
T,2022-01-21 15:03:00,48.288909468,8.850656534,533.0,32.1,-4.6,9.536,8.92,,
T,2022-01-21 15:03:01,48.288884561,8.850707005,532.6,16.8,-8.9,9.541,4.66,,
T,2022-01-21 15:03:02,48.288845512,8.850772035,532.2,23.4,-6.5,9.547,6.49,,
T,2022-01-21 15:03:03,48.288824262,8.850773522,531.8,8.5,-18.2,9.549,2.37,,
T,2022-01-21 15:03:04,48.288802590,8.850780548,531.4,8.9,-17.0,9.552,2.47,,
T,2022-01-21 15:03:05,48.288760990,8.850795914,531.0,17.2,-8.6,9.557,4.76,,
T,2022-01-21 15:03:06,48.288708843,8.850804817,530.5,21.0,-7.0,9.563,5.84,,
T,2022-01-21 15:03:07,48.288655776,8.850814602,530.1,21.4,-6.9,9.568,5.95,,
T,2022-01-21 15:03:08,48.288593005,8.850811292,529.7,25.1,-5.9,9.575,6.98,,
T,2022-01-21 15:03:09,48.288533255,8.850810352,529.3,23.9,-6.3,9.582,6.64,,
T,2022-01-21 15:03:10,48.288470766,8.850802968,528.9,25.1,-6.1,9.589,6.97,,
T,2022-01-21 15:03:11,48.288409280,8.850788433,528.4,24.9,-6.2,9.596,6.92,,
T,2022-01-21 15:03:12,48.288351826,8.850774095,528.0,23.3,-6.7,9.602,6.48,,
T,2022-01-21 15:03:13,48.288293077,8.850757786,527.6,23.9,-6.2,9.609,6.64,,
T,2022-01-21 15:03:14,48.288239824,8.850719905,527.2,23.6,-5.3,9.616,6.55,,
T,2022-01-21 15:03:15,48.288184080,8.850698185,527.0,23.1,-4.3,9.622,6.40,,
T,2022-01-21 15:03:16,48.288124052,8.850706388,526.7,24.1,-3.4,9.629,6.70,,
T,2022-01-21 15:03:17,48.288055733,8.850673537,526.5,28.7,-2.6,9.637,7.98,,
T,2022-01-21 15:03:18,48.287991532,8.850689422,526.3,26.0,-2.7,9.644,7.24,,
T,2022-01-21 15:03:19,48.287926492,8.850734203,526.1,28.7,-2.8,9.652,7.96,,
T,2022-01-21 15:03:20,48.287897499,8.850787020,525.8,18.3,-5.3,9.657,5.08,,
T,2022-01-21 15:03:21,48.287876697,8.850878437,525.5,25.8,-4.2,9.664,7.17,,
T,2022-01-21 15:03:22,48.287869393,8.850932589,525.2,14.8,-8.0,9.668,4.10,,
T,2022-01-21 15:03:23,48.287863408,8.850976963,524.9,12.1,-10.2,9.672,3.36,,
T,2022-01-21 15:03:24,48.287882331,8.851017663,524.5,13.3,-9.4,9.675,3.68,,
T,2022-01-21 15:03:28,48.287880627,8.851045832,523.3,1.9,-56.8,9.677,2.10,,
T,2022-01-21 15:03:34,48.287886379,8.851085582,522.2,1.8,-37.1,9.680,3.02,,
T,2022-01-21 15:03:35,48.287880913,8.851117496,522.1,8.8,-6.4,9.683,2.45,,
T,2022-01-21 15:03:36,48.287866706,8.851165037,521.9,13.9,-4.2,9.687,3.87,,
T,2022-01-21 15:03:37,48.287859286,8.851208926,521.7,12.1,-4.7,9.690,3.36,,
T,2022-01-21 15:03:38,48.287779085,8.851219193,521.6,32.2,-1.9,9.699,8.95,,
T,2022-01-21 15:03:39,48.287715890,8.851229277,521.4,25.4,-2.7,9.706,7.07,,
T,2022-01-21 15:03:40,48.287643301,8.851245307,521.2,29.4,-2.1,9.714,8.16,,
T,2022-01-21 15:03:41,48.287559973,8.851256570,521.1,33.5,-1.7,9.724,9.30,,
T,2022-01-21 15:03:42,48.287472578,8.851274314,520.9,35.3,-1.4,9.733,9.81,,
T,2022-01-21 15:03:43,48.287376651,8.851266155,520.8,38.5,-1.3,9.744,10.68,,
T,2022-01-21 15:03:44,48.287280005,8.851281598,520.6,38.9,-1.8,9.755,10.81,,
T,2022-01-21 15:03:45,48.287182008,8.851297257,520.3,39.5,-2.3,9.766,10.96,,
T,2022-01-21 15:03:46,48.287081721,8.851313832,520.0,40.4,-2.6,9.777,11.22,,
T,2022-01-21 15:03:47,48.286978479,8.851330193,519.7,41.6,-2.9,9.789,11.54,,
T,2022-01-21 15:03:48,48.286872487,8.851347235,519.3,42.7,-3.2,9.800,11.85,,
T,2022-01-21 15:03:49,48.286768061,8.851355135,518.9,41.9,-3.3,9.812,11.63,,
T,2022-01-21 15:03:50,48.286658087,8.851358627,518.6,44.0,-2.8,9.824,12.23,,
T,2022-01-21 15:03:51,48.286548160,8.851362117,518.3,44.0,-2.6,9.837,12.23,,
T,2022-01-21 15:03:52,48.286438532,8.851365598,518.0,43.9,-2.3,9.849,12.19,,
T,2022-01-21 15:03:53,48.286332905,8.851369008,517.7,42.3,-2.1,9.861,11.75,,
T,2022-01-21 15:03:54,48.286223616,8.851351091,517.5,44.0,-2.2,9.873,12.23,,
T,2022-01-21 15:03:55,48.286118870,8.851333918,517.1,42.2,-2.7,9.884,11.72,,
T,2022-01-21 15:03:56,48.286017953,8.851337892,516.8,40.4,-3.3,9.896,11.23,,
T,2022-01-21 15:03:57,48.285923988,8.851306989,516.4,38.5,-3.2,9.906,10.70,,
T,2022-01-21 15:03:58,48.285833406,8.851267852,516.1,37.7,-2.9,9.917,10.48,,
T,2022-01-21 15:03:59,48.285749696,8.851223166,515.9,35.6,-2.8,9.927,9.88,,
T,2022-01-21 15:04:00,48.285671842,8.851176066,515.6,33.6,-2.6,9.936,9.34,,
T,2022-01-21 15:04:01,48.285595520,8.851131156,515.4,32.8,-2.4,9.945,9.12,,
T,2022-01-21 15:04:02,48.285522554,8.851080318,515.2,32.2,-2.2,9.954,8.95,,
T,2022-01-21 15:04:03,48.285452659,8.851031350,515.0,30.9,-2.3,9.963,8.58,,
T,2022-01-21 15:04:04,48.285403323,8.850944651,514.8,30.4,-2.7,9.971,8.46,,
T,2022-01-21 15:04:05,48.285343415,8.850891663,514.5,27.8,-3.1,9.979,7.74,,
T,2022-01-21 15:04:06,48.285294401,8.850844240,514.3,23.4,-4.1,9.985,6.49,,
T,2022-01-21 15:04:07,48.285257014,8.850799736,514.0,19.1,-5.2,9.991,5.31,,
T,2022-01-21 15:04:08,48.285223443,8.850763179,513.8,16.6,-5.1,9.995,4.61,,
T,2022-01-21 15:04:09,48.285193997,8.850733387,513.6,14.2,-4.7,9.999,3.95,,
T,2022-01-21 15:04:10,48.285171155,8.850702055,513.4,12.4,-4.1,10.003,3.44,,
T,2022-01-21 15:04:11,48.285148627,8.850680505,513.3,10.7,-3.4,10.006,2.97,,
T,2022-01-21 15:04:12,48.285129447,8.850671780,513.3,8.0,-3.2,10.008,2.23,,
T,2022-01-21 15:04:28,48.285107891,8.850676655,512.8,0.5,-17.5,10.010,2.42,,
T,2022-01-21 15:04:29,48.285097809,8.850668638,512.8,4.6,-1.1,10.012,1.27,,
T,2022-01-21 15:04:30,48.285077811,8.850643589,512.8,10.4,-0.2,10.015,2.90,,
T,2022-01-21 15:04:31,48.285048950,8.850602516,512.8,15.9,0.3,10.019,4.43,,
T,2022-01-21 15:04:32,48.285010966,8.850556932,512.9,19.5,0.8,10.024,5.41,,
T,2022-01-21 15:04:33,48.284975299,8.850492109,513.0,22.4,1.2,10.031,6.23,,
T,2022-01-21 15:04:34,48.284941023,8.850414634,513.0,24.8,1.0,10.037,6.90,,
T,2022-01-21 15:04:35,48.284906473,8.850337213,513.1,24.9,0.9,10.044,6.91,,
T,2022-01-21 15:04:36,48.284875814,8.850250494,513.1,26.2,0.8,10.052,7.28,,
T,2022-01-21 15:04:37,48.284842351,8.850173588,513.2,24.5,0.7,10.059,6.81,,
T,2022-01-21 15:04:38,48.284823371,8.850094217,513.2,22.5,0.7,10.065,6.26,,
T,2022-01-21 15:04:39,48.284819140,8.850013879,513.3,21.5,0.7,10.071,5.98,,
T,2022-01-21 15:04:40,48.284824900,8.849936242,513.3,20.9,0.6,10.077,5.80,,
T,2022-01-21 15:04:41,48.284841790,8.849857866,513.4,22.0,0.8,10.083,6.11,,
T,2022-01-21 15:04:42,48.284873019,8.849772657,513.4,26.0,1.0,10.090,7.21,,
T,2022-01-21 15:04:43,48.284910657,8.849665741,513.5,32.3,1.2,10.099,8.97,,
T,2022-01-21 15:04:44,48.284946458,8.849545789,513.7,35.1,1.7,10.109,9.75,,
T,2022-01-21 15:04:45,48.284981213,8.849414469,513.9,37.7,1.8,10.119,10.48,,
T,2022-01-21 15:04:46,48.285035112,8.849275979,514.1,42.8,1.6,10.131,11.90,,
T,2022-01-21 15:04:47,48.285050931,8.849108810,514.3,45.1,1.4,10.143,12.53,,
T,2022-01-21 15:04:48,48.285060366,8.848935464,514.4,46.5,1.3,10.156,12.91,,
T,2022-01-21 15:04:49,48.285067547,8.848753793,514.6,48.6,1.2,10.170,13.51,,
T,2022-01-21 15:04:50,48.285075481,8.848558694,514.8,52.2,1.7,10.184,14.51,,
T,2022-01-21 15:04:51,48.285067072,8.848352849,515.2,55.1,2.2,10.200,15.31,,
T,2022-01-21 15:04:52,48.285042148,8.848152096,515.5,54.6,2.0,10.215,15.15,,
T,2022-01-21 15:04:53,48.285015937,8.847943490,515.7,56.7,1.7,10.231,15.75,,
T,2022-01-21 15:04:54,48.284978199,8.847729025,516.0,59.3,1.8,10.247,16.46,,
T,2022-01-21 15:04:55,48.284939592,8.847509623,516.4,60.6,2.1,10.264,16.84,,
T,2022-01-21 15:04:56,48.284875233,8.847294203,516.7,63.1,1.7,10.281,17.52,,
T,2022-01-21 15:04:57,48.284820952,8.847069283,517.0,63.9,1.7,10.299,17.75,,
T,2022-01-21 15:04:58,48.284764397,8.846836460,517.3,66.2,1.8,10.318,18.39,,
T,2022-01-21 15:04:59,48.284709864,8.846594016,517.6,68.4,1.6,10.337,18.99,,
T,2022-01-21 15:05:00,48.284648286,8.846346552,517.9,70.6,1.5,10.356,19.60,,
T,2022-01-21 15:05:01,48.284565332,8.846117075,518.2,69.7,1.8,10.376,19.37,,
T,2022-01-21 15:05:02,48.284502540,8.845872890,518.5,69.9,1.4,10.395,19.42,,
T,2022-01-21 15:05:03,48.284428577,8.845612856,518.8,75.5,1.5,10.416,20.98,,
T,2022-01-21 15:05:04,48.284359154,8.845332862,519.2,79.8,1.4,10.438,22.17,,
T,2022-01-21 15:05:05,48.284280149,8.845046547,519.4,82.8,1.2,10.461,22.99,,
T,2022-01-21 15:05:06,48.284201172,8.844776406,519.9,78.8,1.9,10.483,21.89,,
T,2022-01-21 15:05:07,48.284148955,8.844521107,520.3,71.3,2.1,10.503,19.82,,
T,2022-01-21 15:05:08,48.284127798,8.844251477,520.7,72.5,1.9,10.523,20.15,,
T,2022-01-21 15:05:09,48.284112556,8.843998429,521.0,67.9,1.9,10.542,18.86,,
T,2022-01-21 15:05:10,48.284096107,8.843754734,521.5,65.4,2.4,10.560,18.18,,
T,2022-01-21 15:05:11,48.284119275,8.843518679,521.9,63.7,2.7,10.578,17.71,,
T,2022-01-21 15:05:12,48.284109908,8.843299926,522.4,58.6,2.6,10.594,16.27,,
T,2022-01-21 15:05:13,48.284080484,8.843098124,522.8,55.2,2.6,10.609,15.33,,
T,2022-01-21 15:05:14,48.284052104,8.842916920,523.2,49.7,3.3,10.623,13.81,,
T,2022-01-21 15:05:15,48.284040195,8.842718836,523.7,53.1,3.1,10.638,14.76,,
T,2022-01-21 15:05:16,48.284033920,8.842530016,524.1,50.5,3.2,10.652,14.03,,
T,2022-01-21 15:05:17,48.284028908,8.842366485,524.6,43.7,3.4,10.664,12.15,,
T,2022-01-21 15:05:18,48.284013658,8.842208048,525.0,42.8,3.5,10.676,11.88,,
T,2022-01-21 15:05:19,48.283995062,8.842057261,525.4,41.0,3.7,10.687,11.38,,
T,2022-01-21 15:05:20,48.283966842,8.841937586,525.8,33.9,4.6,10.697,9.42,,
