type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:06:26,48.275079239,8.870239452,582.8,24.0,4.6,0.485,6.67,,
T,2022-01-21 11:06:27,48.275077457,8.870328279,583.1,23.7,4.1,0.492,6.60,,
T,2022-01-21 11:06:28,48.275058288,8.870421033,583.4,25.9,3.4,0.499,7.21,,
T,2022-01-21 11:06:29,48.275054004,8.870516591,583.6,25.6,3.1,0.506,7.11,,
T,2022-01-21 11:06:30,48.275048406,8.870608893,583.8,24.8,2.8,0.513,6.88,,
T,2022-01-21 11:06:31,48.275041597,8.870710383,583.9,27.3,2.3,0.521,7.57,,
T,2022-01-21 11:06:32,48.275034881,8.870812644,584.1,27.5,2.0,0.528,7.63,,
T,2022-01-21 11:06:33,48.275027249,8.870909323,584.2,26.0,1.9,0.536,7.23,,
T,2022-01-21 11:06:34,48.275019072,8.871009839,584.4,27.1,1.9,0.543,7.52,,
T,2022-01-21 11:06:35,48.275010828,8.871111191,584.5,27.3,1.9,0.551,7.58,,
T,2022-01-21 11:06:36,48.275002502,8.871213544,584.7,27.6,1.9,0.558,7.65,,
T,2022-01-21 11:06:37,48.274995310,8.871316371,584.8,27.6,1.7,0.566,7.67,,
T,2022-01-21 11:06:38,48.274988441,8.871418366,584.9,27.4,1.4,0.574,7.61,,
T,2022-01-21 11:06:39,48.274981942,8.871518446,585.0,26.9,1.5,0.581,7.46,,
T,2022-01-21 11:06:40,48.274975446,8.871618496,585.2,26.9,2.1,0.589,7.46,,
T,2022-01-21 11:06:41,48.274968186,8.871715324,585.4,26.0,2.9,0.596,7.23,,
T,2022-01-21 11:06:42,48.274958988,8.871814496,585.6,26.8,2.9,0.603,7.43,,
T,2022-01-21 11:06:43,48.274950639,8.871915730,585.8,27.3,2.6,0.611,7.57,,
T,2022-01-21 11:06:44,48.274942911,8.872014425,586.0,26.6,2.4,0.618,7.38,,
T,2022-01-21 11:06:45,48.274936103,8.872116034,586.1,27.3,2.0,0.626,7.58,,
T,2022-01-21 11:06:46,48.274930838,8.872217438,586.3,27.2,1.7,0.633,7.55,,
T,2022-01-21 11:06:47,48.274925587,8.872318571,586.4,27.1,1.5,0.641,7.53,,
T,2022-01-21 11:06:48,48.274921540,8.872421026,586.5,27.4,1.2,0.648,7.62,,
T,2022-01-21 11:06:49,48.274917144,8.872521130,586.5,26.8,1.0,0.656,7.45,,
T,2022-01-21 11:06:50,48.274912724,8.872621797,586.6,27.0,0.8,0.663,7.49,,
T,2022-01-21 11:06:51,48.274907520,8.872720858,586.6,26.6,0.6,0.671,7.38,,
T,2022-01-21 11:06:52,48.274902289,8.872814722,586.7,25.2,0.5,0.678,6.99,,
T,2022-01-21 11:06:53,48.274897243,8.872905281,586.7,24.3,0.4,0.684,6.75,,
T,2022-01-21 11:06:54,48.274892517,8.872989786,586.7,22.7,0.3,0.691,6.29,,
T,2022-01-21 11:06:55,48.274888114,8.873070063,586.7,21.5,0.2,0.697,5.98,,
T,2022-01-21 11:06:56,48.274885021,8.873149080,586.7,21.2,-0.0,0.703,5.88,,
T,2022-01-21 11:06:57,48.274892749,8.873226465,586.7,20.9,-0.8,0.708,5.81,,
T,2022-01-21 11:06:58,48.274886862,8.873305980,586.6,21.4,-1.4,0.714,5.94,,
T,2022-01-21 11:06:59,48.274883846,8.873389501,586.5,22.4,-1.8,0.721,6.21,,
T,2022-01-21 11:07:00,48.274878375,8.873476778,586.4,23.4,-1.8,0.727,6.51,,
T,2022-01-21 11:07:01,48.274873385,8.873573190,586.3,25.8,-1.5,0.734,7.18,,
T,2022-01-21 11:07:02,48.274869905,8.873678046,586.2,28.1,-1.2,0.742,7.79,,
