type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 11:53:24,48.275071596,8.870139676,582.2,33.8,4.0,13.857,9.39,,
T,2022-01-21 11:53:25,48.275061460,8.870273366,582.5,36.0,3.5,13.867,9.99,,
T,2022-01-21 11:53:26,48.275052730,8.870415197,582.8,38.1,2.9,13.878,10.57,,
T,2022-01-21 11:53:27,48.275041208,8.870563701,583.1,40.0,2.5,13.889,11.10,,
T,2022-01-21 11:53:28,48.275031249,8.870720803,583.3,42.2,2.1,13.900,11.71,,
T,2022-01-21 11:53:29,48.275007437,8.870878340,583.6,43.2,1.8,13.912,11.99,,
T,2022-01-21 11:53:30,48.274978427,8.871034569,583.8,43.3,1.6,13.924,12.04,,
T,2022-01-21 11:53:31,48.274968674,8.871192966,583.9,42.5,1.5,13.936,11.81,,
T,2022-01-21 11:53:32,48.274958053,8.871348206,584.1,41.7,1.4,13.948,11.58,,
T,2022-01-21 11:53:33,48.274955941,8.871507092,584.2,42.5,1.2,13.960,11.80,,
T,2022-01-21 11:53:34,48.274950888,8.871661919,584.4,41.4,1.7,13.971,11.51,,
T,2022-01-21 11:53:35,48.274944568,8.871815531,584.7,41.1,2.4,13.982,11.42,,
T,2022-01-21 11:53:36,48.274935928,8.871967668,584.9,40.8,2.2,13.994,11.33,,
T,2022-01-21 11:53:37,48.274928590,8.872119731,585.2,40.7,1.9,14.005,11.32,,
T,2022-01-21 11:53:38,48.274919508,8.872273363,585.3,41.2,1.6,14.017,11.45,,
T,2022-01-21 11:53:39,48.274907728,8.872431244,585.5,42.5,1.4,14.028,11.79,,
T,2022-01-21 11:53:40,48.274896548,8.872590158,585.6,42.7,1.1,14.040,11.86,,
T,2022-01-21 11:53:41,48.274884340,8.872747959,585.8,42.4,0.9,14.052,11.79,,
T,2022-01-21 11:53:42,48.274875919,8.872903913,585.8,41.8,0.8,14.064,11.61,,
T,2022-01-21 11:53:43,48.274867424,8.873056150,585.9,40.8,0.6,14.075,11.34,,
T,2022-01-21 11:53:44,48.274857373,8.873208684,586.0,41.0,0.5,14.086,11.38,,
T,2022-01-21 11:53:45,48.274846460,8.873362150,586.0,41.2,-0.1,14.098,11.46,,
T,2022-01-21 11:53:46,48.274838169,8.873516067,585.9,41.3,-0.5,14.109,11.46,,
T,2022-01-21 11:53:47,48.274828354,8.873666009,585.9,40.3,-0.5,14.120,11.18,,
T,2022-01-21 11:53:48,48.274821232,8.873817423,585.8,40.6,-0.8,14.132,11.27,,
T,2022-01-21 11:53:49,48.274816577,8.873972533,585.6,41.5,-1.7,14.143,11.53,,
T,2022-01-21 11:53:50,48.274817757,8.874125830,585.3,41.0,-2.1,14.155,11.38,,
T,2022-01-21 11:53:51,48.274825026,8.874277720,585.1,40.7,-1.9,14.166,11.30,,
T,2022-01-21 11:53:52,48.274838571,8.874428305,584.9,40.6,-1.7,14.177,11.28,,
T,2022-01-21 11:53:53,48.274873150,8.874571835,584.8,40.8,-1.5,14.189,11.33,,
T,2022-01-21 11:53:54,48.274880305,8.874723645,584.6,40.7,-1.8,14.200,11.30,,
T,2022-01-21 11:53:55,48.274907088,8.874867036,584.3,39.8,-2.0,14.211,11.05,,
T,2022-01-21 11:53:56,48.274931153,8.875010779,584.1,39.6,-2.3,14.222,11.00,,
T,2022-01-21 11:53:57,48.274950120,8.875154390,583.8,39.1,-2.7,14.233,10.87,,
T,2022-01-21 11:53:58,48.274964723,8.875297925,583.5,38.8,-2.5,14.244,10.78,,
T,2022-01-21 11:53:59,48.274975985,8.875441864,583.3,38.7,-2.2,14.254,10.76,,
T,2022-01-21 11:54:00,48.274973921,8.875586559,583.1,38.7,-2.0,14.265,10.74,,
T,2022-01-21 11:54:01,48.274963712,8.875726190,582.9,37.5,-1.9,14.275,10.43,,
T,2022-01-21 11:54:02,48.274945570,8.875861531,582.7,36.9,-1.8,14.286,10.25,,
T,2022-01-21 11:54:03,48.274916394,8.875988171,582.5,35.8,-1.9,14.296,9.94,,
T,2022-01-21 11:54:04,48.274883436,8.876105886,582.3,34.1,-2.0,14.305,9.48,,
T,2022-01-21 11:54:05,48.274826409,8.876195738,582.1,33.1,-2.2,14.314,9.20,,
T,2022-01-21 11:54:06,48.274788312,8.876297010,581.9,31.1,-2.4,14.323,8.63,,
T,2022-01-21 11:54:07,48.274753972,8.876398296,581.7,30.4,-2.5,14.331,8.43,,
T,2022-01-21 11:54:08,48.274740955,8.876495872,581.5,26.6,-3.0,14.339,7.39,,
T,2022-01-21 11:54:09,48.274710081,8.876572728,581.2,24.0,-3.3,14.345,6.66,,
T,2022-01-21 11:54:10,48.274684658,8.876654214,581.0,24.0,-3.3,14.352,6.68,,
T,2022-01-21 11:54:11,48.274659276,8.876735054,580.8,23.9,-3.3,14.359,6.63,,







