type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 09:21:32,48.271616237,8.848777445,521.2,34.3,0.8,0.953,9.54,,
T,2022-01-21 09:21:33,48.271535588,8.848763855,521.3,32.5,0.7,0.962,9.02,,
T,2022-01-21 09:21:34,48.271459295,8.848742023,521.3,31.1,0.7,0.970,8.64,,
T,2022-01-21 09:21:35,48.271383928,8.848723702,521.4,30.6,0.6,0.979,8.49,,
T,2022-01-21 09:21:36,48.271307894,8.848705998,521.4,30.8,0.5,0.987,8.56,,
T,2022-01-21 09:21:37,48.271233257,8.848680981,521.5,30.6,0.5,0.996,8.50,,
T,2022-01-21 09:21:38,48.271156468,8.848663108,521.5,31.1,0.4,1.005,8.64,,
T,2022-01-21 09:21:39,48.271081129,8.848632246,521.5,31.3,0.4,1.013,8.68,,
T,2022-01-21 09:21:40,48.271008524,8.848606119,521.6,29.9,0.4,1.021,8.30,,
T,2022-01-21 09:21:41,48.270933372,8.848588625,521.6,30.4,0.3,1.030,8.46,,
T,2022-01-21 09:21:42,48.270855464,8.848558285,521.6,32.2,0.3,1.039,8.95,,
T,2022-01-21 09:21:43,48.270778758,8.848525827,521.6,31.9,0.2,1.048,8.86,,
T,2022-01-21 09:21:44,48.270705204,8.848468862,521.7,33.1,0.2,1.057,9.21,,
T,2022-01-21 09:21:45,48.270626234,8.848432166,521.7,33.1,0.2,1.066,9.19,,
T,2022-01-21 09:21:46,48.270549147,8.848396345,521.7,32.3,0.2,1.075,8.97,,
T,2022-01-21 09:21:47,48.270479975,8.848363145,521.7,29.1,0.2,1.083,8.08,,
T,2022-01-21 09:21:48,48.270413278,8.848329163,521.7,28.2,0.2,1.091,7.83,,
T,2022-01-21 09:21:49,48.270348812,8.848296317,521.7,27.3,0.1,1.099,7.57,,
T,2022-01-21 09:21:50,48.270287182,8.848264917,521.7,26.1,0.1,1.106,7.24,,
T,2022-01-21 09:21:51,48.270227777,8.848234651,521.7,25.1,0.1,1.113,6.98,,
T,2022-01-21 09:21:52,48.270170485,8.848205460,521.7,24.2,0.1,1.120,6.73,,
T,2022-01-21 09:21:53,48.270116446,8.848177928,521.8,22.8,0.1,1.126,6.35,,
T,2022-01-21 09:21:54,48.270069014,8.848153761,521.8,20.1,0.1,1.131,5.57,,
T,2022-01-21 09:21:55,48.270023331,8.848130486,521.8,19.3,0.1,1.137,5.37,,
T,2022-01-21 09:21:56,48.269980236,8.848108529,521.8,18.2,0.1,1.142,5.06,,





