type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 14:51:46,48.271584031,8.848805312,521.2,22.2,1.2,4.800,6.16,,
T,2022-01-21 14:51:47,48.271530667,8.848788340,521.2,21.8,1.1,4.807,6.07,,
T,2022-01-21 14:51:48,48.271477860,8.848762935,521.3,22.2,1.0,4.813,6.17,,
T,2022-01-21 14:51:49,48.271424478,8.848732465,521.4,22.9,0.9,4.819,6.35,,
T,2022-01-21 14:51:50,48.271362022,8.848715083,521.4,25.4,0.7,4.826,7.06,,
T,2022-01-21 14:51:51,48.271296491,8.848688075,521.5,27.2,0.6,4.834,7.56,,
T,2022-01-21 14:51:52,48.271223299,8.848665670,521.5,29.9,0.5,4.842,8.31,,
T,2022-01-21 14:51:53,48.271147493,8.848669554,521.5,30.4,0.4,4.850,8.43,,
T,2022-01-21 14:51:54,48.271078208,8.848654388,521.6,28.0,0.4,4.858,7.79,,
T,2022-01-21 14:51:55,48.271004924,8.848625475,521.6,30.3,0.3,4.867,8.43,,
T,2022-01-21 14:51:56,48.270924738,8.848596823,521.6,33.0,0.3,4.876,9.17,,
T,2022-01-21 14:51:57,48.270845305,8.848533964,521.6,36.0,0.2,4.886,9.99,,
T,2022-01-21 14:51:58,48.270757590,8.848493204,521.7,36.8,0.2,4.896,10.21,,
T,2022-01-21 14:51:59,48.270671983,8.848476553,521.7,34.6,0.2,4.906,9.60,,
T,2022-01-21 14:52:00,48.270593687,8.848441520,521.7,32.7,0.2,4.915,9.09,,
T,2022-01-21 14:52:01,48.270518852,8.848407398,521.7,31.3,0.2,4.923,8.70,,
T,2022-01-21 14:52:02,48.270446445,8.848368820,521.7,30.8,0.1,4.932,8.55,,
T,2022-01-21 14:52:03,48.270373222,8.848330931,521.7,31.0,0.1,4.941,8.61,,
T,2022-01-21 14:52:04,48.270305314,8.848297723,521.7,28.6,0.1,4.948,7.94,,
T,2022-01-21 14:52:05,48.270249452,8.848245694,521.7,26.3,0.2,4.956,7.31,,
T,2022-01-21 14:52:06,48.270195832,8.848218375,521.7,22.7,0.1,4.962,6.30,,
T,2022-01-21 14:52:07,48.270145133,8.848192544,521.8,21.4,0.1,4.968,5.95,,
T,2022-01-21 14:52:08,48.270097423,8.848168236,521.8,20.2,0.1,4.974,5.60,,
T,2022-01-21 14:52:09,48.270047931,8.848168690,521.8,19.8,0.1,4.979,5.50,,
T,2022-01-21 14:52:10,48.270007208,8.848144043,521.8,17.6,0.1,4.984,4.88,,
T,2022-01-21 14:52:11,48.269971827,8.848119250,521.8,15.6,0.1,4.988,4.34,,
T,2022-01-21 14:52:12,48.269940094,8.848097015,521.8,14.0,0.1,4.992,3.90,,





