type,time,latitude,longitude,altitude (m),speed (km/h),slope (%),distance (km),distance_interval (m),name,desc
T,2022-01-21 10:09:38,48.269917924,8.848136129,521.8,20.3,0.1,23.072,5.65,,
T,2022-01-21 10:09:39,48.269968778,8.848141911,521.8,20.4,0.1,23.078,5.67,,
T,2022-01-21 10:09:40,48.270019928,8.848166330,521.8,21.5,0.1,23.084,5.97,,
T,2022-01-21 10:09:41,48.270077693,8.848189081,521.8,23.9,0.1,23.090,6.64,,
T,2022-01-21 10:09:42,48.270138631,8.848226165,521.8,26.3,0.1,23.098,7.31,,
T,2022-01-21 10:09:43,48.270203202,8.848266577,521.8,28.0,0.1,23.105,7.78,,
T,2022-01-21 10:09:44,48.270269529,8.848307461,521.8,28.7,0.0,23.113,7.98,,
T,2022-01-21 10:09:45,48.270339105,8.848348760,521.8,30.0,0.0,23.122,8.32,,
T,2022-01-21 10:09:46,48.270410519,8.848385885,521.8,30.3,0.0,23.130,8.41,,
T,2022-01-21 10:09:47,48.270484567,8.848422861,521.8,31.2,0.0,23.139,8.68,,
T,2022-01-21 10:09:48,48.270559531,8.848452762,521.8,31.1,0.0,23.147,8.63,,
T,2022-01-21 10:09:49,48.270630578,8.848482814,521.8,29.6,0.0,23.156,8.21,,
T,2022-01-21 10:09:50,48.270703482,8.848507935,521.8,29.9,0.0,23.164,8.32,,
T,2022-01-21 10:09:51,48.270771625,8.848532655,521.8,28.1,0.0,23.172,7.80,,
T,2022-01-21 10:09:52,48.270834605,8.848563620,521.8,26.5,0.0,23.179,7.37,,
T,2022-01-21 10:09:53,48.270893100,8.848587131,521.8,24.2,0.0,23.186,6.73,,
T,2022-01-21 10:09:54,48.270945895,8.848632889,521.8,24.4,0.0,23.193,6.78,,
T,2022-01-21 10:09:55,48.271001157,8.848658569,521.8,23.2,0.0,23.199,6.43,,
T,2022-01-21 10:09:56,48.271058209,8.848675256,521.8,23.3,0.0,23.206,6.46,,
T,2022-01-21 10:09:57,48.271119118,8.848697174,521.8,25.1,0.0,23.213,6.97,,
T,2022-01-21 10:09:58,48.271187072,8.848721628,521.8,28.0,0.0,23.220,7.77,,
T,2022-01-21 10:09:59,48.271254270,8.848745809,521.8,27.7,0.0,23.228,7.68,,
T,2022-01-21 10:10:00,48.271324785,8.848770997,521.8,29.0,0.0,23.236,8.06,,
T,2022-01-21 10:10:01,48.271402967,8.848798894,521.8,32.2,0.0,23.245,8.94,,
T,2022-01-21 10:10:02,48.271477808,8.848820492,521.8,30.5,0.0,23.253,8.48,,
T,2022-01-21 10:10:03,48.271548838,8.848840755,521.8,28.9,0.0,23.261,8.04,,
T,2022-01-21 10:10:04,48.271616420,8.848860033,521.8,27.5,0.0,23.269,7.65,,
T,2022-01-21 10:10:05,48.271681406,8.848874445,521.8,26.3,0.0,23.276,7.30,,
T,2022-01-21 10:10:06,48.271747475,8.848888940,521.8,26.7,0.0,23.284,7.42,,
T,2022-01-21 10:10:07,48.271816816,8.848904153,521.8,28.1,0.0,23.292,7.79,,
T,2022-01-21 10:10:08,48.271875713,8.848915194,521.8,23.8,0.0,23.298,6.60,,
T,2022-01-21 10:10:09,48.271932594,8.848932098,521.8,23.2,0.0,23.305,6.45,,
T,2022-01-21 10:10:10,48.271984785,8.848924555,521.8,21.0,-0.1,23.311,5.83,,
T,2022-01-21 10:10:11,48.272035892,8.848939536,521.8,20.8,-0.4,23.316,5.79,,
T,2022-01-21 10:10:12,48.272090811,8.848957362,521.7,22.5,-0.6,23.323,6.25,,
T,2022-01-21 10:10:13,48.272143259,8.848994704,521.7,23.2,-0.7,23.329,6.46,,




